                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    144,                0.21173,                0.19003,                0.89804,                0.95947,                0.89488,                0.95555,                0.84536,                0.55443,                0.35477,                 1.0755,               0.005281,               0.005281,               0.005281
                    145,                0.20765,                0.18888,                0.89782,                0.95386,                    0.9,                0.95574,                0.84606,                0.55344,                 0.3536,                 1.0742,               0.005248,               0.005248,               0.005248
                    146,                0.21084,                 0.1856,                0.89843,                0.96398,                0.89173,                0.95577,                0.84603,                0.55234,                0.35312,                  1.073,               0.005215,               0.005215,               0.005215
                    147,                0.20795,                0.18638,                0.89648,                0.95485,                0.90143,                0.95586,                0.84657,                0.55199,                0.35148,                 1.0725,               0.005182,               0.005182,               0.005182
                    148,                0.20794,                0.18705,                0.89645,                0.95725,                0.90668,                0.95593,                0.84585,                0.55096,                0.34993,                 1.0713,               0.005149,               0.005149,               0.005149
                    149,                0.20886,                0.18859,                0.89753,                0.95543,                0.90716,                0.95604,                0.84656,                0.55035,                0.34818,                 1.0706,               0.005116,               0.005116,               0.005116
                    150,                0.20551,                0.18406,                0.89562,                0.95386,                0.90875,                 0.9563,                0.84682,                0.54936,                0.34669,                 1.0701,               0.005083,               0.005083,               0.005083
                    151,                0.20567,                0.18333,                0.89568,                0.95298,                0.91004,                0.95675,                0.84667,                0.54803,                0.34613,                 1.0689,                0.00505,                0.00505,                0.00505
                    152,                 0.2057,                0.18286,                0.89589,                0.96041,                0.90575,                0.95672,                0.84848,                0.54694,                0.34521,                 1.0681,               0.005017,               0.005017,               0.005017
                    153,                0.20712,                0.18158,                0.89679,                0.95896,                0.90716,                0.95666,                0.84916,                0.54543,                0.34387,                 1.0667,               0.004984,               0.004984,               0.004984
                    154,                0.20312,                0.18186,                0.89585,                0.95995,                0.90674,                 0.9567,                0.84995,                0.54449,                0.34209,                  1.066,               0.004951,               0.004951,               0.004951
                    155,                0.20465,                0.18334,                0.89795,                0.95867,                0.90662,                0.95706,                0.85065,                0.54365,                0.34088,                 1.0652,               0.004918,               0.004918,               0.004918
                    156,                0.20632,                0.18208,                0.89455,                0.95831,                0.90975,                0.95718,                0.85164,                0.54284,                0.33958,                  1.064,               0.004885,               0.004885,               0.004885
                    157,                0.20515,                0.18368,                 0.8928,                 0.9586,                0.90949,                 0.9575,                0.85297,                0.54175,                0.33854,                 1.0628,               0.004852,               0.004852,               0.004852
                    158,                0.20299,                0.18021,                0.89345,                0.95796,                0.90927,                0.95755,                0.85323,                0.54053,                0.33775,                 1.0611,               0.004819,               0.004819,               0.004819
