                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.36666,                0.30553,                0.99243,                0.84956,                0.77628,                0.85877,                 0.6783,                0.85645,                0.66107,                 1.4025,               0.007459,               0.007459,               0.007459
                     79,                0.36396,                0.30321,                0.98754,                0.84444,                0.77745,                0.86059,                0.68102,                0.85351,                0.65864,                 1.3998,               0.007426,               0.007426,               0.007426
                     80,                0.36372,                0.30496,                0.98642,                 0.8425,                0.78126,                0.86183,                0.68255,                0.85154,                0.65547,                 1.3977,               0.007393,               0.007393,               0.007393
                     81,                0.36084,                0.30341,                0.98479,                 0.8437,                0.78398,                0.86146,                0.68316,                0.84979,                0.65464,                  1.396,                0.00736,                0.00736,                0.00736
                     82,                0.36196,                0.30091,                0.98702,                0.85076,                0.78255,                0.86188,                0.68435,                0.84813,                0.65321,                 1.3949,               0.007327,               0.007327,               0.007327
                     83,                0.36236,                0.30174,                0.98784,                   0.84,                0.79391,                0.86223,                0.68465,                0.84615,                0.65165,                 1.3932,               0.007294,               0.007294,               0.007294
                     84,                0.36052,                0.29902,                 0.9857,                0.84127,                0.79391,                0.86277,                0.68515,                0.84439,                0.64992,                 1.3911,               0.007261,               0.007261,               0.007261
                     85,                0.35775,                0.29648,                0.98231,                 0.8415,                0.79494,                0.86298,                0.68542,                0.84379,                0.64784,                 1.3898,               0.007228,               0.007228,               0.007228
                     86,                 0.3551,                0.29555,                0.97959,                0.83967,                0.79529,                0.86379,                0.68664,                0.84196,                0.64564,                 1.3877,               0.007195,               0.007195,               0.007195
                     87,                0.35966,                0.29545,                0.97959,                0.85027,                0.79223,                0.86493,                0.68655,                 0.8408,                0.64322,                 1.3858,               0.007162,               0.007162,               0.007162
                     88,                0.35542,                0.29563,                0.98092,                0.85401,                0.79319,                0.86601,                0.68816,                0.83917,                0.64086,                 1.3839,               0.007129,               0.007129,               0.007129
                     89,                0.35864,                0.29836,                0.98114,                0.86501,                0.78467,                0.86658,                0.69044,                0.83783,                0.63915,                 1.3823,               0.007096,               0.007096,               0.007096
                     90,                0.35645,                0.29916,                0.98078,                0.86524,                0.78912,                0.86742,                0.69093,                0.83627,                0.63776,                 1.3801,               0.007063,               0.007063,               0.007063
                     91,                0.35655,                0.29547,                0.97699,                0.86369,                 0.7895,                0.86822,                0.69134,                0.83514,                0.63629,                 1.3784,                0.00703,                0.00703,                0.00703
                     92,                0.35071,                 0.2919,                0.97641,                0.86665,                0.78823,                0.86883,                0.69254,                 0.8346,                 0.6347,                 1.3772,               0.006997,               0.006997,               0.006997
                     93,                 0.3518,                0.29421,                0.97288,                0.86776,                0.78855,                0.86968,                0.69319,                0.83353,                0.63273,                 1.3756,               0.006964,               0.006964,               0.006964
                     94,                0.35142,                0.29114,                0.97842,                0.87424,                0.78635,                0.87016,                0.69483,                0.83204,                0.63125,                 1.3744,               0.006931,               0.006931,               0.006931
                     95,                0.35107,                0.29014,                0.98162,                0.87949,                0.78527,                0.87054,                0.69581,                0.83078,                0.62994,                 1.3732,               0.006898,               0.006898,               0.006898
                     96,                 0.3482,                0.28939,                0.97665,                0.87287,                0.78596,                0.87118,                0.69674,                0.82952,                0.62788,                 1.3719,               0.006865,               0.006865,               0.006865
                     97,                0.34789,                0.28849,                0.97709,                0.87439,                 0.7868,                  0.872,                0.69671,                0.82872,                0.62584,                 1.3708,               0.006832,               0.006832,               0.006832
                     98,                0.35245,                0.28901,                0.97582,                 0.8692,                0.78551,                0.87221,                 0.6974,                0.82782,                0.62424,                 1.3696,               0.006799,               0.006799,               0.006799
                     99,                0.34657,                0.28618,                 0.9726,                 0.8675,                0.78684,                 0.8728,                0.69842,                0.82691,                0.62252,                 1.3679,               0.006766,               0.006766,               0.006766
                    100,                0.34658,                0.28296,                0.97159,                 0.8675,                0.78743,                0.87354,                0.69915,                0.82558,                0.62131,                 1.3659,               0.006733,               0.006733,               0.006733
                    101,                0.34621,                0.28287,                0.97394,                0.86795,                0.78782,                0.87399,                0.69938,                 0.8244,                0.61936,                 1.3646,                 0.0067,                 0.0067,                 0.0067
                    102,                0.34688,                0.28646,                0.97016,                0.86585,                0.79332,                 0.8745,                0.70031,                0.82358,                0.61741,                 1.3636,               0.006667,               0.006667,               0.006667
                    103,                0.34258,                0.28033,                0.97311,                0.86876,                0.79001,                 0.8748,                0.70063,                0.82211,                0.61566,                 1.3621,               0.006634,               0.006634,               0.006634
                    104,                0.34517,                0.28187,                0.97558,                0.86758,                0.79007,                0.87539,                0.70142,                0.82071,                0.61468,                 1.3607,               0.006601,               0.006601,               0.006601
                    105,                0.34294,                0.28161,                0.97026,                 0.8672,                0.79144,                0.87444,                0.70099,                0.81964,                0.61453,                 1.3595,               0.006568,               0.006568,               0.006568
                    106,                0.34027,                0.28117,                0.96897,                0.86804,                0.79137,                0.87479,                0.70202,                0.81899,                0.61287,                 1.3586,               0.006535,               0.006535,               0.006535
                    107,                0.34286,                0.28297,                 0.9688,                0.86391,                0.79694,                0.87565,                0.70298,                0.81862,                0.61191,                 1.3577,               0.006502,               0.006502,               0.006502
                    108,                0.34228,                0.27996,                0.96851,                0.86454,                0.79368,                  0.876,                0.70263,                0.81746,                0.61044,                 1.3557,               0.006469,               0.006469,               0.006469
                    109,                0.34052,                0.27861,                0.96745,                0.89369,                0.77195,                0.87641,                 0.7035,                0.81637,                0.60967,                 1.3539,               0.006436,               0.006436,               0.006436
                    110,                0.34132,                0.27733,                0.96586,                0.88799,                0.77938,                0.87689,                0.70319,                0.81507,                0.60905,                 1.3515,               0.006403,               0.006403,               0.006403
                    111,                0.33834,                 0.2778,                0.96744,                 0.8891,                0.77993,                0.87628,                0.70486,                0.81441,                0.60803,                 1.3499,                0.00637,                0.00637,                0.00637
                    112,                0.33619,                0.27461,                0.96443,                0.88997,                0.77993,                0.87791,                0.70533,                0.81364,                 0.6065,                 1.3479,               0.006337,               0.006337,               0.006337
                    113,                0.33594,                 0.2747,                0.96586,                 0.8918,                0.78068,                0.87771,                0.70677,                0.81218,                0.60547,                 1.3462,               0.006304,               0.006304,               0.006304
                    114,                0.33432,                0.27203,                 0.9621,                0.85456,                0.81221,                0.87831,                0.70729,                0.81061,                0.60406,                 1.3441,               0.006271,               0.006271,               0.006271
                    115,                0.33778,                0.27627,                0.96391,                0.88392,                0.78551,                0.87833,                0.70801,                0.80961,                0.60336,                 1.3433,               0.006238,               0.006238,               0.006238
                    116,                0.33315,                0.27526,                0.96273,                0.85513,                0.81143,                0.87901,                0.70879,                0.80848,                0.60247,                 1.3416,               0.006205,               0.006205,               0.006205
                    117,                0.33054,                0.27319,                0.96242,                0.85708,                0.80814,                0.87939,                0.70993,                0.80731,                0.60075,                 1.3402,               0.006172,               0.006172,               0.006172
                    118,                0.33416,                0.26986,                0.96364,                0.85937,                0.80814,                 0.8796,                0.71059,                0.80601,                 0.5991,                 1.3388,               0.006139,               0.006139,               0.006139
                    119,                0.33208,                0.26839,                 0.9635,                0.86446,                 0.8073,                0.87995,                0.71089,                0.80538,                0.59804,                  1.338,               0.006106,               0.006106,               0.006106
                    120,                0.33228,                0.26985,                0.96225,                0.86087,                0.80886,                0.87987,                0.71154,                 0.8043,                0.59697,                 1.3368,               0.006073,               0.006073,               0.006073
                    121,                0.33251,                0.27108,                0.96214,                0.86316,                0.80903,                0.88025,                0.71206,                0.80315,                0.59576,                 1.3357,                0.00604,                0.00604,                0.00604
                    122,                0.33637,                0.27178,                0.96343,                0.86377,                0.81135,                0.88059,                0.71267,                0.80178,                0.59488,                 1.3345,               0.006007,               0.006007,               0.006007
                    123,                0.33427,                 0.2692,                0.96424,                0.86584,                0.81224,                0.88122,                0.71329,                0.80091,                0.59361,                 1.3336,               0.005974,               0.005974,               0.005974
                    124,                0.33053,                0.26841,                0.96081,                0.86682,                0.81192,                0.88188,                0.71432,                0.79974,                0.59246,                 1.3323,               0.005941,               0.005941,               0.005941
                    125,                0.33428,                 0.2683,                 0.9624,                0.86784,                 0.8159,                0.88221,                0.71446,                0.79829,                0.59094,                 1.3305,               0.005908,               0.005908,               0.005908
                    126,                0.32719,                0.26605,                0.95789,                0.86694,                0.81491,                0.88302,                0.71533,                0.79744,                0.58902,                 1.3289,               0.005875,               0.005875,               0.005875
                    127,                0.32724,                0.26883,                 0.9623,                0.86998,                0.81358,                0.88305,                0.71575,                0.79622,                0.58729,                 1.3278,               0.005842,               0.005842,               0.005842
                    128,                  0.331,                0.26841,                0.96403,                0.86794,                0.81478,                0.88362,                0.71696,                0.79527,                0.58635,                  1.327,               0.005809,               0.005809,               0.005809
                    129,                0.32639,                0.26354,                0.95781,                0.86684,                0.81567,                0.88414,                0.71747,                0.79361,                0.58522,                 1.3247,               0.005776,               0.005776,               0.005776
                    130,                0.32798,                0.26544,                0.95746,                0.86878,                0.81546,                0.88469,                0.71943,                0.79239,                0.58312,                 1.3229,               0.005743,               0.005743,               0.005743
                    131,                0.32712,                0.26535,                 0.9557,                0.86878,                0.81519,                0.88534,                0.72093,                0.79163,                0.58249,                 1.3215,                0.00571,                0.00571,                0.00571
                    132,                0.32653,                0.26394,                0.95911,                0.86864,                 0.8162,                0.88588,                0.72049,                0.79062,                0.58088,                 1.3204,               0.005677,               0.005677,               0.005677
                    133,                0.32769,                 0.2624,                 0.9571,                0.86786,                0.81689,                0.88655,                0.72124,                0.78954,                0.57906,                  1.319,               0.005644,               0.005644,               0.005644
                    134,                0.32222,                0.26127,                0.95525,                0.86823,                0.81779,                0.88731,                0.72154,                0.78846,                0.57694,                 1.3181,               0.005611,               0.005611,               0.005611
                    135,                0.32251,                0.26173,                0.95766,                0.86741,                0.81909,                0.88782,                0.72135,                0.78734,                0.57542,                 1.3168,               0.005578,               0.005578,               0.005578
                    136,                0.32346,                 0.2609,                0.95383,                0.86741,                0.82289,                0.88749,                0.72295,                0.78602,                0.57409,                 1.3151,               0.005545,               0.005545,               0.005545
                    137,                0.32475,                0.26367,                0.95562,                0.86911,                0.82583,                0.88827,                0.72356,                0.78514,                0.57164,                 1.3142,               0.005512,               0.005512,               0.005512
                    138,                0.32036,                0.26019,                0.95718,                 0.8729,                0.82494,                0.88887,                0.72507,                0.78407,                0.56955,                 1.3131,               0.005479,               0.005479,               0.005479
                    139,                0.32318,                0.25978,                0.95557,                0.87792,                0.82074,                0.88932,                0.72549,                0.78239,                0.56747,                 1.3108,               0.005446,               0.005446,               0.005446
                    140,                0.31874,                0.25862,                0.95119,                0.88063,                0.81847,                0.88945,                0.72563,                0.78048,                0.56678,                 1.3088,               0.005413,               0.005413,               0.005413
                    141,                0.31992,                0.25838,                0.95084,                0.87942,                0.81941,                0.89048,                0.72712,                0.77948,                0.56696,                 1.3078,                0.00538,                0.00538,                0.00538
                    142,                0.31888,                0.25515,                0.94919,                0.87643,                0.82148,                0.88971,                0.72737,                0.77843,                0.56578,                  1.306,               0.005347,               0.005347,               0.005347
                    143,                0.32129,                0.25908,                0.95288,                0.86904,                0.82628,                0.88962,                0.72731,                  0.777,                 0.5644,                 1.3041,               0.005314,               0.005314,               0.005314
                    144,                0.31968,                0.25553,                0.95451,                0.87266,                0.82484,                 0.8902,                0.72779,                0.77599,                0.56321,                  1.303,               0.005281,               0.005281,               0.005281
                    145,                0.31564,                 0.2553,                 0.9511,                0.87145,                0.82484,                0.89115,                0.72806,                0.77521,                0.56216,                 1.3021,               0.005248,               0.005248,               0.005248
                    146,                0.31989,                0.25512,                0.95172,                0.87702,                0.82114,                0.89024,                 0.7282,                0.77425,                0.56188,                 1.3004,               0.005215,               0.005215,               0.005215
                    147,                0.31725,                 0.2539,                0.94747,                0.88104,                0.82093,                0.89049,                0.72915,                0.77321,                0.56095,                 1.2988,               0.005182,               0.005182,               0.005182
                    148,                0.31148,                0.24994,                0.94847,                0.88069,                0.82117,                0.89091,                0.72938,                0.77207,                0.55978,                 1.2978,               0.005149,               0.005149,               0.005149
                    149,                0.31498,                0.24941,                0.94729,                0.87898,                0.82054,                0.89118,                0.73007,                0.77116,                0.55812,                 1.2966,               0.005116,               0.005116,               0.005116
                    150,                0.31285,                0.24892,                0.94947,                0.88214,                0.81832,                0.89165,                0.73137,                0.77021,                0.55714,                 1.2957,               0.005083,               0.005083,               0.005083
                    151,                0.31589,                0.25175,                 0.9504,                0.87716,                0.82529,                0.89233,                0.73254,                0.76896,                0.55559,                 1.2942,                0.00505,                0.00505,                0.00505
                    152,                0.31334,                0.25109,                0.94741,                0.89119,                0.80897,                0.89253,                0.73254,                0.76801,                0.55462,                 1.2933,               0.005017,               0.005017,               0.005017
                    153,                0.31311,                0.24591,                0.94606,                0.89059,                0.81039,                0.89302,                0.73338,                0.76673,                0.55268,                 1.2911,               0.004984,               0.004984,               0.004984
                    154,                0.30938,                0.24666,                0.94823,                0.89007,                0.81131,                 0.8935,                0.73384,                0.76589,                0.55098,                 1.2899,               0.004951,               0.004951,               0.004951
